"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Peugeot 208",5530,58700,2017,2,"Petrol","Hatchback","1.2L","Manual",5,5
"SKODA Fabia",3995,75846,2008,NA,"Petrol","Hatchback","1.6L","Automatic",5,5
"Nissan Qashqai+2",2500,94932,2009,2,"Diesel","SUV","2.0L","Manual",5,7
"Vauxhall Astra",2495,75000,2006,2,"Petrol","Hatchback","1.8L","Automatic",5,5
"Renault Grand Scenic",2500,65500,2010,3,"Diesel","MPV","1.5L","Manual",5,7
"Vauxhall Corsa",13998,28045,2020,NA,"Electric","Hatchback","","Automatic",5,5
"Vauxhall Corsa",13999,13451,2021,1,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Astra",2500,136842,2014,1,"Diesel","Estate","1.6L","Manual",5,5
"Ford Kuga Diesel Hatchback",8650,65684,2015,1,"Diesel","SUV","2.0L","Manual",5,5
"Ford Fiesta",7695,44500,2016,NA,"Petrol","Hatchback","1.3L","Manual",3,5
"MINI Hatch",9299,58700,2013,2,"Petrol","Hatchback","1.6L","Manual",3,4
"Vauxhall Astra",2500,136842,2014,1,"Diesel","Estate","1.6L","Manual",5,5
"BMW 2 Series",17599,26607,2019,NA,"Petrol","Coupe","1.5L","Automatic",2,4
"BMW X3 Series",28240,45155,2019,1,"Diesel","SUV","2.0L","Automatic",5,5
"Vauxhall Zafira",1500,77175,2006,3,"Petrol","MPV","1.8L","Manual",5,7
"Honda Cr-z",5200,107000,2011,7,"Petrol Hybrid","Coupe","1.5L","Manual",3,4
"Fiat 500C",7990,20295,2015,NA,"Petrol","Convertible","1.2L","Manual",2,4
"Renault Scenic",1999,125000,2012,2,"Petrol","MPV","1.6L","Manual",5,5
"BMW 1 Series",6795,80000,2013,NA,"Petrol","Hatchback","1.6L","Manual",3,5
"Toyota Aygo",1995,57213,2011,2,"Petrol","Hatchback","1.0L","Manual",5,4
"Mitsubishi Outlander",795,98000,2012,5,"Diesel","SUV","2.2L","Manual",5,7
"Audi A4",7990,80000,2012,NA,"Petrol","Saloon","1.8L","Manual",4,5
"Mazda MX-5",6989,27758,2009,2,"Petrol","Convertible","2.0L","Automatic",2,2
"Nissan Murano",4950,118000,2010,NA,"Petrol","SUV","3.5L","Automatic",5,5
"Toyota Avensis",1599,115000,2004,5,"Petrol","Hatchback","1.8L","Manual",5,5
"Peugeot 207",999,111400,2007,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Mazda Mazda3",2295,63000,2008,NA,"Petrol","Saloon","1.6L","Manual",4,5
"Hyundai i10",2495,68100,2011,5,"Petrol","Hatchback","1.2L","Manual",5,5
"Hyundai Tucson",12500,45540,2018,1,"Petrol","SUV","1.6L","Manual",5,5
"Vauxhall Insignia",2950,79000,2011,4,"Petrol","Hatchback","1.8L","Manual",5,5
"Honda Jazz",5395,50213,2011,2,"Petrol","Hatchback","1.3L","Manual",5,5
"Audi A5 Cabriolet",15990,67000,2018,2,"Petrol","Convertible","2.0L","Manual",2,4
"BMW 5 SERIES",12995,59879,2013,1,"Petrol","Saloon","2.0L","Automatic",4,5
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Ford Focus",2950,105000,2011,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Honda Jazz",2195,150000,2005,NA,"Petrol","Hatchback","1.3L","Automatic",5,5
"Fiat Panda",3195,57000,2011,3,"Petrol","Hatchback","1.2L","Manual",5,4
"Fiat 500",6800,32400,2014,2,"Petrol","Hatchback","1.2L","Manual",3,4
"Vauxhall Tigra",1490,85556,2006,3,"Petrol","Convertible","1.4L","Manual",2,2
"Volkswagen Polo",2000,112638,2008,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",1995,69400,2006,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Volkswagen Scirocco",3750,99000,2010,3,"Petrol","Hatchback","1.4L","Manual",3,4
"Volkswagen Polo",2495,149000,2010,1,"Diesel","Hatchback","1.2L","Manual",5,5
"Vauxhall Vectra",3295,93000,2007,NA,"Petrol","Hatchback","2.8L","Manual",5,5
"Vauxhall Corsa",2000,110000,2013,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Focus",1895,109000,2009,NA,"Petrol","Hatchback","","Manual",5,5
"Toyota Prius",4795,93000,2008,2,"Petrol Hybrid","Hatchback","1.5L","Automatic",5,5
"Ford Focus",7499,59300,2016,3,"Petrol","Hatchback","1.0L","Manual",5,5
"Vauxhall Astra GTC",5995,76000,2014,3,"Diesel","Coupe","","Manual",NA,NA
"Ford Focus",1200,95000,2009,3,"Diesel","Hatchback","1.8L","Manual",5,5
"Volkswagen Polo",2495,149000,2010,1,"Diesel","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",2250,82000,2010,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Scenic",4695,90000,2015,2,"Petrol","MPV","1.2L","Manual",5,5
"Vauxhall Astra",1995,93101,2008,6,"Petrol","Hatchback","1.6L","Manual",5,5
"Hyundai i30",1999,105000,2010,7,"Petrol","Hatchback","1.4L","Manual",5,5
"Hyundai i30",1750,130000,2010,4,"Petrol","Hatchback","1.4L","Manual",5,5
"Nissan Micra",7995,43000,2013,NA,"Petrol","Hatchback","1.2L","Automatic",5,5
"Ford Kuga",14495,43841,2019,1,"Petrol","SUV","1.5L","Manual",5,5
"Ford KA+",9999,19455,2018,5,"Petrol","Hatchback","1.2L","Manual",5,5
"Volkswagen Golf",2485,77720,2006,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"Nissan Qashqai",6399,92016,2014,4,"Petrol","SUV","1.2L","Manual",5,5
"Vauxhall Astra GTC",4250,77700,2014,4,"Petrol","Coupe","1.4L","Manual",3,5
"MG MG6",3245,55000,2012,NA,"Petrol","Hatchback","1.8L","Manual",5,5
